antibody	variants	replicates
7kmg	wt	1
7kmg	wt	1
7kmg	wt	1
7kmg	wt	1
7kmg	wt	1
7kmg	wt	1
7kmg	wt	1
7kmg	wt	2
7kmg	wt	2
7kmg	wt	2
7kmg	wt	2
7kmg	wt	2
7kmg	wt	2
7kmg	wt	2
7kmg	wt	3
7kmg	wt	3
7kmg	wt	3
7kmg	wt	3
7kmg	wt	3
7kmg	wt	3
7kmg	wt	3
7kmg	alpha	1
7kmg	alpha	1
7kmg	alpha	1
7kmg	alpha	1
7kmg	alpha	1
7kmg	alpha	1
7kmg	alpha	1
7kmg	alpha	2
7kmg	alpha	2
7kmg	alpha	2
7kmg	alpha	2
7kmg	alpha	2
7kmg	alpha	2
7kmg	alpha	2
7kmg	alpha	3
7kmg	alpha	3
7kmg	alpha	3
7kmg	alpha	3
7kmg	alpha	3
7kmg	alpha	3
7kmg	alpha	3
7kmg	beta	1
7kmg	beta	1
7kmg	beta	1
7kmg	beta	1
7kmg	beta	1
7kmg	beta	1
7kmg	beta	1
7kmg	beta	2
7kmg	beta	2
7kmg	beta	2
7kmg	beta	2
7kmg	beta	2
7kmg	beta	2
7kmg	beta	2
7kmg	beta	3
7kmg	beta	3
7kmg	beta	3
7kmg	beta	3
7kmg	beta	3
7kmg	beta	3
7kmg	beta	3
7kmg	delta	1
7kmg	delta	1
7kmg	delta	1
7kmg	delta	1
7kmg	delta	1
7kmg	delta	1
7kmg	delta	1
7kmg	delta	2
7kmg	delta	2
7kmg	delta	2
7kmg	delta	2
7kmg	delta	2
7kmg	delta	2
7kmg	delta	2
7kmg	delta	3
7kmg	delta	3
7kmg	delta	3
7kmg	delta	3
7kmg	delta	3
7kmg	delta	3
7kmg	delta	3
7kmg	omicron	1
7kmg	omicron	1
7kmg	omicron	1
7kmg	omicron	1
7kmg	omicron	1
7kmg	omicron	1
7kmg	omicron	1
7kmg	omicron	2
7kmg	omicron	2
7kmg	omicron	2
7kmg	omicron	2
7kmg	omicron	2
7kmg	omicron	2
7kmg	omicron	2
7kmg	omicron	3
7kmg	omicron	3
7kmg	omicron	3
7kmg	omicron	3
7kmg	omicron	3
7kmg	omicron	3
7kmg	omicron	3
7c01	wt	1
7c01	wt	1
7c01	wt	1
7c01	wt	1
7c01	wt	1
7c01	wt	1
7c01	wt	1
7c01	wt	1
7c01	wt	1
7c01	wt	1
7c01	wt	1
7c01	wt	1
7c01	wt	2
7c01	wt	2
7c01	wt	2
7c01	wt	2
7c01	wt	2
7c01	wt	2
7c01	wt	2
7c01	wt	2
7c01	wt	2
7c01	wt	2
7c01	wt	2
7c01	wt	2
7c01	wt	3
7c01	wt	3
7c01	wt	3
7c01	wt	3
7c01	wt	3
7c01	wt	3
7c01	wt	3
7c01	wt	3
7c01	wt	3
7c01	wt	3
7c01	wt	3
7c01	wt	3
7c01	alpha	1
7c01	alpha	1
7c01	alpha	1
7c01	alpha	1
7c01	alpha	1
7c01	alpha	1
7c01	alpha	1
7c01	alpha	1
7c01	alpha	1
7c01	alpha	1
7c01	alpha	1
7c01	alpha	1
7c01	alpha	2
7c01	alpha	2
7c01	alpha	2
7c01	alpha	2
7c01	alpha	2
7c01	alpha	2
7c01	alpha	2
7c01	alpha	2
7c01	alpha	2
7c01	alpha	2
7c01	alpha	2
7c01	alpha	2
7c01	alpha	3
7c01	alpha	3
7c01	alpha	3
7c01	alpha	3
7c01	alpha	3
7c01	alpha	3
7c01	alpha	3
7c01	alpha	3
7c01	alpha	3
7c01	alpha	3
7c01	alpha	3
7c01	alpha	3
7c01	beta	1
7c01	beta	1
7c01	beta	1
7c01	beta	1
7c01	beta	1
7c01	beta	1
7c01	beta	1
7c01	beta	1
7c01	beta	1
7c01	beta	1
7c01	beta	1
7c01	beta	1
7c01	beta	2
7c01	beta	2
7c01	beta	2
7c01	beta	2
7c01	beta	2
7c01	beta	2
7c01	beta	2
7c01	beta	2
7c01	beta	2
7c01	beta	2
7c01	beta	2
7c01	beta	2
7c01	beta	3
7c01	beta	3
7c01	beta	3
7c01	beta	3
7c01	beta	3
7c01	beta	3
7c01	beta	3
7c01	beta	3
7c01	beta	3
7c01	beta	3
7c01	beta	3
7c01	beta	3
7c01	delta	1
7c01	delta	1
7c01	delta	1
7c01	delta	1
7c01	delta	1
7c01	delta	1
7c01	delta	1
7c01	delta	1
7c01	delta	1
7c01	delta	1
7c01	delta	1
7c01	delta	1
7c01	delta	2
7c01	delta	2
7c01	delta	2
7c01	delta	2
7c01	delta	2
7c01	delta	2
7c01	delta	2
7c01	delta	2
7c01	delta	2
7c01	delta	2
7c01	delta	2
7c01	delta	2
7c01	delta	3
7c01	delta	3
7c01	delta	3
7c01	delta	3
7c01	delta	3
7c01	delta	3
7c01	delta	3
7c01	delta	3
7c01	delta	3
7c01	delta	3
7c01	delta	3
7c01	delta	3
7c01	omicron	1
7c01	omicron	1
7c01	omicron	1
7c01	omicron	1
7c01	omicron	1
7c01	omicron	1
7c01	omicron	1
7c01	omicron	1
7c01	omicron	1
7c01	omicron	1
7c01	omicron	1
7c01	omicron	1
7c01	omicron	2
7c01	omicron	2
7c01	omicron	2
7c01	omicron	2
7c01	omicron	2
7c01	omicron	2
7c01	omicron	2
7c01	omicron	2
7c01	omicron	2
7c01	omicron	2
7c01	omicron	2
7c01	omicron	2
7c01	omicron	3
7c01	omicron	3
7c01	omicron	3
7c01	omicron	3
7c01	omicron	3
7c01	omicron	3
7c01	omicron	3
7c01	omicron	3
7c01	omicron	3
7c01	omicron	3
7c01	omicron	3
7c01	omicron	3
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	1
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	2
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	wt	3
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	1
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	2
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	alpha	3
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	1
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	2
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	beta	3
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	1
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	2
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	delta	3
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	1
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	2
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7cm4	omicron	3
7l7d	wt	1
7l7d	wt	1
7l7d	wt	1
7l7d	wt	1
7l7d	wt	1
7l7d	wt	1
7l7d	wt	2
7l7d	wt	2
7l7d	wt	2
7l7d	wt	2
7l7d	wt	2
7l7d	wt	2
7l7d	wt	3
7l7d	wt	3
7l7d	wt	3
7l7d	wt	3
7l7d	wt	3
7l7d	wt	3
7l7d	alpha	1
7l7d	alpha	1
7l7d	alpha	1
7l7d	alpha	1
7l7d	alpha	1
7l7d	alpha	1
7l7d	alpha	2
7l7d	alpha	2
7l7d	alpha	2
7l7d	alpha	2
7l7d	alpha	2
7l7d	alpha	2
7l7d	alpha	3
7l7d	alpha	3
7l7d	alpha	3
7l7d	alpha	3
7l7d	alpha	3
7l7d	alpha	3
7l7d	beta	1
7l7d	beta	1
7l7d	beta	1
7l7d	beta	1
7l7d	beta	1
7l7d	beta	1
7l7d	beta	2
7l7d	beta	2
7l7d	beta	2
7l7d	beta	2
7l7d	beta	2
7l7d	beta	2
7l7d	beta	3
7l7d	beta	3
7l7d	beta	3
7l7d	beta	3
7l7d	beta	3
7l7d	beta	3
7l7d	delta	1
7l7d	delta	1
7l7d	delta	1
7l7d	delta	1
7l7d	delta	1
7l7d	delta	1
7l7d	delta	2
7l7d	delta	2
7l7d	delta	2
7l7d	delta	2
7l7d	delta	2
7l7d	delta	2
7l7d	delta	3
7l7d	delta	3
7l7d	delta	3
7l7d	delta	3
7l7d	delta	3
7l7d	delta	3
7l7d	omicron	1
7l7d	omicron	1
7l7d	omicron	1
7l7d	omicron	1
7l7d	omicron	1
7l7d	omicron	1
7l7d	omicron	2
7l7d	omicron	2
7l7d	omicron	2
7l7d	omicron	2
7l7d	omicron	2
7l7d	omicron	2
7l7d	omicron	3
7l7d	omicron	3
7l7d	omicron	3
7l7d	omicron	3
7l7d	omicron	3
7l7d	omicron	3
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	1
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	2
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
7l7e	wt	3
